000 12c00000-52c00000 rw-p [anon:dalvik-main size=1073741824
001 6f3dc000-6f636000 rw-p [anon:dalvik-/apex/com.android.art/javalib/boot.art] size=2465792
002 6f636000-6f677000 rw-p [anon:dalvik-/apex/com.android.art/javalib/boot-core-libart.art] size=266240
003 6f677000-6f69d000 rw-p [anon:dalvik-/apex/com.android.art/javalib/boot-okhttp.art] size=155648
004 6f69d000-6f6d1000 rw-p [anon:dalvik-/apex/com.android.art/javalib/boot-bouncycastle.art] size=212992
005 6fbbf000-707e7000 rw-p [anon:dalvik-/system/framework/boot-framework.art] size=12746752
006 707e8000-70806000 rw-p [anon:dalvik-/system/framework/boot-ext.art] size=122880
007 70806000-709b6000 rw-p [anon:dalvik-/system/framework/boot-telephony-common.art] size=1769472
008 709b6000-70a5d000 rw-p [anon:dalvik-/system/framework/boot-voip-common.art] size=684032
009 70a5d000-70aa6000 rw-p [anon:dalvik-/system/framework/boot-ims-common.art] size=299008
010 70aa6000-70c1d000 rw-p [anon:dalvik-/system/framework/boot-core-icu4j.art] size=1536000
011 716c7000-71e12000 rw-p [anon:dalvik-zygote size=7647232
012 71e13000-71e48000 rw-p [anon:dalvik-non size=217088
013 74ec8000-756c7000 rw-p [anon:dalvik-non size=8384512
014 756c7000-956c7000 rw-p [anon:dalvik-free size=536870912
015 7920576000-792067d000 rw-p [anon:stack_and_tls:28747] size=1077248
016 7920688000-792078f000 rw-p [anon:stack_and_tls:28766] size=1077248
017 7921285000-7921381000 rw-p [anon:stack_and_tls:28756] size=1032192
018 7921383000-792147f000 rw-p [anon:stack_and_tls:28755] size=1032192
019 792288a000-7922991000 rw-p [anon:stack_and_tls:28740] size=1077248
020 7923994000-7923a8f000 rw-p [anon:stack_and_tls:28739] size=1028096
021 7928a91000-7928b8d000 rw-p [anon:stack_and_tls:28753] size=1032192
022 7929b90000-7929c97000 rw-p [anon:stack_and_tls:28737] size=1077248
023 7929c9a000-7929da1000 rw-p [anon:stack_and_tls:28736] size=1077248
024 792bda4000-792beab000 rw-p [anon:stack_and_tls:28727] size=1077248
025 79382d6000-79383dd000 rw-p [anon:stack_and_tls:28706] size=1077248
026 7938591000-7938698000 rw-p [anon:stack_and_tls:28723] size=1077248
027 79387a5000-79388ac000 rw-p [anon:stack_and_tls:28724] size=1077248
028 79394ea000-79395f1000 rw-p [anon:stack_and_tls:28710] size=1077248
029 793b5f4000-793b6fb000 rw-p [anon:stack_and_tls:28703] size=1077248
030 793b6fe000-793b805000 rw-p [anon:stack_and_tls:28702] size=1077248
031 793c808000-793c90f000 rw-p [anon:stack_and_tls:28701] size=1077248
032 794b604000-7953604000 rw-p [anon:libc_malloc] size=134217728
033 7972a36000-7972b37000 rw-p [anon:libc_malloc] size=1052672
034 7972b3b000-7972b5a000 rw-p [anon:libc_malloc] size=126976
035 7972b5a000-7972bfa000 rw-p [anon:libc_malloc] size=655360
036 7972bfa000-79730e2000 rw-p [anon:libc_malloc] size=5144576
037 79730e2000-797310d000 rw-p [anon:libc_malloc] size=176128
038 797310d000-7973126000 rw-p [anon:libc_malloc] size=102400
039 7973126000-797318b000 rw-p [anon:libc_malloc] size=413696
040 797318b000-7973836000 rw-p [anon:libc_malloc] size=6991872
041 7973968000-7973984000 rw-p [anon:.bss] size=114688
042 7a1e19e000-7a1e1c9000 rw-p [anon:.bss] size=176128
043 7a2107b000-7a21177000 rw-p [anon:stack_and_tls:28372] size=1032192
044 7a22e01000-7a22e41000 rw-p [anon:dalvik-LinearAlloc] size=262144
045 7a22e6c000-7a22e8c000 rw-p [anon:dalvik-LinearAlloc] size=131072
046 7a2304f000-7a2308f000 rw-p [anon:dalvik-LinearAlloc] size=262144
047 7a230ad000-7a230cd000 rw-p [anon:dalvik-LinearAlloc] size=131072
048 7a230fa000-7a2311a000 rw-p [anon:dalvik-LinearAlloc] size=131072
049 7a231e0000-7a23200000 rw-p [anon:dalvik-LinearAlloc] size=131072
050 7a26812000-7a26852000 rw-p [anon:dalvik-LinearAlloc] size=262144
051 7a2690f000-7a2692f000 rw-p [anon:dalvik-LinearAlloc] size=131072
052 7a2694f000-7a2696f000 rw-p [anon:dalvik-LinearAlloc] size=131072
053 7a269c4000-7a269e4000 rw-p [anon:dalvik-LinearAlloc] size=131072
054 7a28029000-7a28049000 rw-p [anon:dalvik-LinearAlloc] size=131072
055 7a2806c000-7a2808c000 rw-p [anon:dalvik-LinearAlloc] size=131072
056 7a280a6000-7a280c6000 rw-p [anon:dalvik-LinearAlloc] size=131072
057 7a280c6000-7a280e6000 rw-p [anon:dalvik-CompilerMetadata] size=131072
058 7a28129000-7a28149000 rw-p [anon:dalvik-CompilerMetadata] size=131072
059 7a2816d000-7a2818d000 rw-p [anon:dalvik-CompilerMetadata] size=131072
060 7a281b9000-7a281d9000 rw-p [anon:dalvik-CompilerMetadata] size=131072
061 7a281f5000-7a28215000 rw-p [anon:dalvik-CompilerMetadata] size=131072
062 7a2822c000-7a2824c000 rw-p [anon:dalvik-CompilerMetadata] size=131072
063 7a2825a000-7a2829a000 rw-p [anon:dalvik-CompilerMetadata] size=262144
064 7a282a3000-7a282c3000 rw-p [anon:dalvik-CompilerMetadata] size=131072
065 7a28357000-7a28397000 rw-p [anon:dalvik-CompilerMetadata] size=262144
066 7a283b6000-7a283d6000 rw-p [anon:dalvik-CompilerMetadata] size=131072
067 7a28428000-7a28448000 rw-p [anon:dalvik-CompilerMetadata] size=131072
068 7a2847b000-7a284bb000 rw-p [anon:dalvik-CompilerMetadata] size=262144
069 7a284fc000-7a2851c000 rw-p [anon:dalvik-CompilerMetadata] size=131072
070 7a2858b000-7a28c0b000 rw-p [anon:libc_malloc] size=6815744
071 7a28c28000-7a28c48000 rw-p [anon:dalvik-LinearAlloc] size=131072
072 7a28ca4000-7a28ce4000 rw-p [anon:dalvik-LinearAlloc] size=262144
073 7a28d7a000-7a28dba000 rw-p [anon:dalvik-LinearAlloc] size=262144
074 7a28dc3000-7a28de3000 rw-p [anon:dalvik-LinearAlloc] size=131072
075 7a28e6c000-7a28e8c000 rw-p [anon:dalvik-LinearAlloc] size=131072
076 7a28f2a000-7a28f6a000 rw-p [anon:dalvik-LinearAlloc] size=262144
077 7a28fad000-7a28fcd000 rw-p [anon:dalvik-LinearAlloc] size=131072
078 7a2a20d000-7a2a24d000 rw-p [anon:dalvik-LinearAlloc] size=262144
079 7a2d00c000-7a2d02c000 rw-p [anon:dalvik-LinearAlloc] size=131072
080 7a2d0f8000-7a2d158000 rw-p [anon:dalvik-LinearAlloc] size=393216
